Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,Stacking Fault Energy,PI_creep_feature,creep_rupture_life
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,49,56,196,650,67.3807,2.3892,176.5
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,49,59,196,650,62.6117,2.2161,177
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,57,66,216,650,57.9359,2.2553,178
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,68,64,137,700,65.3684,2.3982,179.4
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,75,76,137,700,59.6453,2.2273,183.4
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,76,79,137,700,67.3807,2.2273,184.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,88,78,147,700,58.7002,2.2541,184.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,64,82,196,650,65.2279,2.2918,186.2
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,98,83,88,750,64.2349,2.3236,187.4
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,41,43,265,600,63.5551,2.5349,188.2
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,42,64,363,550,57.9359,2.3351,190.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,112,86,88,750,66.7895,2.1851,194.3
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,31,35,265,600,64.2349,2.4643,207.4
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,49,64,284,600,57.9359,2.4670,207.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,48,67,196,650,59.6453,2.3892,210.6
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,53,64,284,600,58.7002,2.3624,214.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,36,55,108,750,62.6117,2.4028,216
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,37,39,265,600,66.7612,2.4724,217.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,54,75,196,650,66.7895,2.0924,218.1
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,33,33,88,750,65.3684,2.3414,218.2
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,45,73,196,650,61.1435,2.3404,219
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,91,76,88,750,66.7612,2.3700,223.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,48,66,373,550,58.7002,2.5258,225.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,72,84,88,750,66.6471,2.2949,234
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,98,79,88,750,66.6471,2.2949,234.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,45,62,265,600,66.6248,2.5266,238.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,28,16,265,600,59.6453,2.3369,243
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,85,81,88,750,66.6248,2.3199,252.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,62,78,196,650,65.3684,2.2293,254
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,24,18,265,600,60.6679,2.4991,254.5
