Ti,Al,V,Fe,C,N,H,O,Sn,Nb,Mo,Zr,Si,B,Cr,Solution treated temp(cel),ST time (h),Anneal temp (cel),Annealing Time (hour),steady state strain rate (1/s),Strain to rupture (%) (Efc),PI_creep_feature,Temperature of creep test (cel),stress,Creep Life
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,1.21E-07,0.056,2.443,500,140,47.99
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,2.12E-07,0.087,1.987,500,140,47.81
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,995,2,700,2,0,41,2.376,600,150,432
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,24.9,2.265,500,300,70.54
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,5.59,2.259,600,310,55.84
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,4.86E-07,0,2.265,500,300,72
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,945,2,700,2,0,51.2,2.376,600,150,460
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,1000,0,480,24,0.000332,3.175,2.762,400,575,448
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,980,0,480,24,0,5.25,2.762,400,575,447.57
89.35,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.06,0,0,0,900,2,2.55E-08,14.22,2.514,475,300,750
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,940,0,480,24,0.000731,15.36,2.762,400,575,430
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1373,1,0,0,2.513,773,311.75,674.96
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1123,6,0,0,2.513,773,312.81,690.16
85.987,6.2,0,0,0.021,0.004,0.008,0.03,1.95,0,2,3.8,0,0,0,1050,1,550,24,1.00E-05,0,2.513,520,310,750
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,993,2,0,0,2.513,773,312.57,549.81
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,23.15,2.514,500,300,628.41
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,940,4,1.58E-05,0,2.649,455,489,107
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1373,1,0,0,2.511,773,333.49,453.48
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1123,6,0,0,2.511,773,333.4,493.3
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,0,2.47,500,520,0.0462
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,2.47,500,465,0.3
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,1050,0.5,950,1,4.78E-09,1.15,2.474,500,291,165
89.35,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.06,0,0,0,900,2,1.36E-07,21.46,2.474,500,300,154.72
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,4.72E-08,3.9,2.474,475,300,148.33
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,7.64,2.474,500,300,135.83
88.05,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.2,0,1050,0.5,550,24,9.27E-08,11.53,2.474,500,300,113.76
89.3,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.11,0,0,0,900,2,1.06E-07,23.07,2.474,500,300,185.27
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,2.02E-05,28.4,1.737,600,250,0.82
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,2.83E-05,5.36,1.838,650,241,0.7
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,950,1,600,24,2.05E-06,36.8,1.995,600,125,22.07
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,190,6,5.38E-05,19.4,1.943,600,250,0.62
